org_id	remap_id
American President	0
Arsenic and Old Lace	12
Back to the Future	27
10 Things I Hate About You	44
The Truth About Cats and Dogs	55
E.T. The Extra-Terrestrial	63
The Empire Strikes Back	74
Return of the Jedi	92
Jaws	95
The Lost World: Jurassic Park	110
Men in Black	170
Saving Private Ryan	190
The Matrix	206
Star Wars	222
The Sixth Sense	242
Toy Story 2	252
Forrest Gump	273
Gladiator	281
The Lion King	296
Jurassic Park	305
Home Alone	312
Terminator 2 - Judgment Day	322
Batman	334
Independence Day	345
Secrets & Lies	362
Jude	368
Everyone Says I Love You	376
The English Patient	389
Sex, Lies, and Videotape	431
Psycho	437
Annie Hall	457
Manhattan	463
8 1/2	470
Groundhog Day	479
The Unbearable Lightness of Being	489
Paris, Texas	495
The Birds	503
The Portrait of a Lady	516
Batman Forever	527
The Peacemaker	538
Gattaca	578
One Night Stand	608
Sliding Doors	636
Sense and Sensibility	645
Great Expectations	654
Hush	669
The Man in the Iron Mask	675
A Perfect Murder	717
Take the Money and Run	722
The Exorcist	730
The Avengers	739
Rosemary's Baby	748
Topaz	760
Marnie	769
I Confess	777
Jamaica Inn	788
Sabotage	798
Rich and Strange	807
Practical Magic	814
Shakespeare in Love	823
Radio Days	837
Angela's Ashes	842
Jennifer 8	854
Four Weddings and a Funeral	861
Small Time Crooks	866
To Die For	880
Widow's Peak	890
Seven	895
Malice	909
Manhattan Murder Mystery	920
Remains of the Day	924
Mighty Aphrodite	931
Terminal Velocity	940
Germinal	946
Alphaville	958
The Horseman on the Roof	965
Multiplicity	972
Emma	980
Vertigo	1002
Rear Window	1015
Notorious	1024
The 39 Steps	1033
A Few Good Men	1043
My Cousin Vinny	1054
Damien: Omen II	1061
Dead Alive	1072
The Godfather	1079
Batman Returns	1106
Bad Boys	1113
Spawn	1122
Judge Dredd	1137
Blade	1146
X-Men	1160
Dirty Dancing	1175
Coyote Ugly	1188
Basic Instinct	1204
The Fifth Element	1211
Mouse Hunt	1320
King of New York	1334
Four Rooms	1345
The Prophecy	1361
Armageddon	1366
Disclosure	1389
Jack Frost	1394
Blast From the Past	1403
Pulp Fiction	1410
Sleepy Hollow	1423
Fatal Attraction	1435
Death Becomes Her	1442
Sleepaway Camp	1452
Color of Night	1461
Striking Distance	1469
Braveheart	1474
Top Gun	1484
The Saint	1499
Austin Powers: International Man of Mystery	1549
Dumb and Dumber	1596
Pleasantville	1605
Fletch	1619
National Lampoon's Christmas Vacation	1636
Message in a Bottle	1644
Lost & Found	1656
Austin Powers: The Spy Who Shagged Me	1667
Mystery Men	1676
The Shawshank Redemption	1695
Tommy Boy	1703
Speed	1712
What About Bob?	1718
Best in Show	1726
Meet the Parents	1741
So I Married An Axe Murderer	1751
Tombstone	1758
Mr. Holland's Opus	1779
Kingpin	1784
Black Sheep	1788
Monty Python and the Holy Grail	1796
M.A.S.H.	1807
Sinbad: Legend of the Seven Seas	1813
Leaving Las Vegas	1821
Office Space	1825
High Fidelity	1836
Clueless	1848
Toy Story	1863
The Sound of Music	1867
Raiders of the Lost Ark	1879
Indiana Jones and the Last Crusade	1887
Grease	1893
Liar Liar	1920
Apollo 13	1932
There's Something About Mary	1939
Indiana Jones and the Temple of Doom	1949
The Waterboy	1955
A Bug's Life	1966
Crocodile Dundee	1982
Star Wars: Episode I - The Phantom Menace	1992
Tarzan	2009
Big Daddy	2017
The Color Purple	2026
Home Alone 2: Lost in New York	2034
Mission: Impossible 2	2037
The Perfect Storm	2048
Scary Movie	2061
Aladdin	2074
Dances With Wolves	2078
Snow White and the Seven Dwarfs	2083
Twister	2090
The Blair Witch Project	2096
The Terminator	2104
Total Recall	2110
Last Action Hero	2120
Eraser	2128
The Devil's Advocate	2141
American Pie	2158
Deuce Bigalow: Male Gigolo	2178
Die Hard	2188
Die Hard 2: Die Harder	2197
Air Force One	2203
Die Hard With a Vengeance	2234
Six Days, Seven Nights	2239
French Kiss	2248
Notting Hill	2254
What Lies Beneath	2263
Henry V	2271
Circle of Friends	2276
My Life So Far	2280
Dead Again	2289
Peter's Friends	2293
Dogma	2298
Howard's End	2312
Carrington	2318
Restoration	2322
Much Ado About Nothing	2328
Sirens	2333
Fallen Angels	2340
A Little Princess	2348
The Princess Bride	2349
Aliens	2358
A Clockwork Orange	2365
BASEketball	2375
Orgazmo	2384
Clue	2391
The Rocky Horror Picture Show	2396
Little Shop of Horrors	2405
Band of the Hand	2414
Near Dark	2421
Clerks	2425
A Perfect World	2426
Airplane!	2430
Schindler's List	2439
Casablanca	2448
Gone With the Wind	2478
The Devil's Own	2512
The Mask of Zorro	2517
Lock, Stock & Two Smoking Barrels	2524
Fight Club	2534
The Story of Us	2543
Gone in 60 Seconds	2547
The Shadow	2565
Silence of the Lambs	2571
Scrooged	2582
Shallow Grave	2596
Benny & Joon	2601
Shall We Dance?	2606
Edward Scissorhands	2621
Awakenings	2629
Glory	2631
Unforgiven	2640
When Harry Met Sally...	2645
Sling Blade	2648
Contact	2653
G.I. Jane	2673
Smoke Signals	2706
Cruel Intentions	2714
Heaven Can Wait	2724
Big	2740
American Beauty	2751
Boys Don't Cry	2762
Risky Business	2776
Robocop	2781
Anywhere But Here	2786
Erin Brockovich	2798
Where the Heart Is	2810
Requiem for a Dream	2819
Ghost	2828
Beautiful Girls	2830
Bottle Rocket	2837
Reservoir Dogs	2845
Akira	2851
Field of Dreams	2854
Citizen Ruth	2859
Lost Highway	2868
Jackie Brown	2878
As Good As It Gets	2897
Blue Velvet	2902
Rushmore	2908
Open Your Eyes	2919
Eyes Wide Shut	2926
Tommy	2937
Natural Born Killers	2948
El Mariachi	2951
Mission to Mars	2955
Solaris	2967
Frequency	2977
Nutty Professor II: The Klumps	2985
The Fugitive	2997
The Hudsucker Proxy	3006
Heat	3014
Fargo	3021
The Rock	3029
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	3037
Trainspotting	3044
2001: A Space Odyssey	3049
Stand by Me	3058
My Best Friend's Wedding	3067
I Know What You Did Last Summer	3083
The Truman Show	3100
Scream 2	3105
The Breakfast Club	3162
Adventures in Babysitting	3168
I Still Know What You Did Last Summer	3172
Scream 3	3181
While You Were Sleeping	3190
Road Trip	3195
The Patriot	3213
Disney's The Kid	3226
