org_id	remap_id
Michael Douglas	3
Annette Bening	4
Martin Sheen	5
Michael J. Fox	6
Richard Dreyfuss	7
Samantha Mathis	8
David Paymer	9
Anna Deavere Smith	10
Cary Grant	14
Priscilla Lane	15
Raymond Massey	16
Peter Lorre	17
Josephine Hull	18
Jean Adair	19
John Alexander	20
James Gleason	21
Jack Carson	22
Edward Everett Horton	23
Grant Mitchell	24
Charles Lane	25
Christopher Lloyd	29
Lea Thompson	30
Crispin Glover	31
Claudia Wells	32
Thomas F. Wilson	33
James Tolkan	34
Marc McClure	35
Wendie Jo Sperber	36
George DiCenzo	37
Lee McCain	38
Jason Hervey	39
Casey Siemaszko	40
Billy Zane	41
Harry Waters Jr.	42
Andrew Keegan [Joey Donner ]	46
Larry Miller [Walter Stratford]	47
John Ritter	48
David Krumholtz [Michael Eckman]	49
Heath Ledger [Patrick Verona]	50
Joseph Gordon-Levitt [Cameron James]	51
Julia Stiles [Kat Stratford]	52
Larisa Oleynik [Bianca Stratford]	53
Bianca Kajlich	54
Janeane Garofalo	57
Uma Thurman	58
Ben Chaplin	59
Jamie Foxx	60
David Cross	61
Bob Odenkirk	62
Henry Thomas [Elliott]	65
Dee Wallace Stone [Mary]	66
Peter Coyote [Keys]	67
Drew Barrymore [Gertie]	68
Robert McNaughton [Michael]	69
C. Thomas Howell [Tyler]	70
K.C. Martel [Greg]	71
Sean Frye [Steve]	72
Robert MacNaughton	73
Mark Hamill	77
Harrison Ford	78
Carrie Fisher	79
Billy Dee Williams	80
Anthony Daniels	81
David Prowse	82
Peter Mayhew	83
Alec Guinness	84
Mark Hamil	85
Frank Oz	86
Kenny Baker	87
Ian McDiarmid	94
Roy Scheider	96
Robert Shaw	97
Lorraine Gary	98
Murray Hamilton	99
Carl Gottlieb	100
Jay Mello	101
Lee Fierro	102
Jeffrey Kramer	103
Susan Backlinie	104
Jonathan Filley	105
Jeff Goldblum	111
Julianne Moore	112
Vince Vaughn	113
Pete Postlethwaite	114
Arliss Howard	115
Richard Attenborough	116
Vanessa Lee Chester	117
Peter Stormare	118
Harvey Jason	119
Richard Schiff	120
Thomas F. Duffy	121
