org_id	remap_id
American President	0
Arsenic and Old Lace	12
Back to the Future	27
10 Things I Hate About You	44
The Truth About Cats and Dogs	55
E.T. The Extra-Terrestrial	63
The Empire Strikes Back	74
Return of the Jedi	92
Jaws	95
The Lost World: Jurassic Park	110
Men in Black	170
Saving Private Ryan	190
The Matrix	206
Star Wars	222
Star Wars: Episode I - The Phantom Menace	242
The Sixth Sense	261
Toy Story 2	271
Forrest Gump	292
Gladiator	300
The Lion King	315
Jurassic Park	324
Home Alone	330
Terminator 2 - Judgment Day	340
Batman	352
Independence Day	363
Secrets & Lies	380
Jude	386
Everyone Says I Love You	394
The English Patient	407
Sex, Lies, and Videotape	449
Psycho	455
Annie Hall	475
Manhattan	481
8 1/2	488
Groundhog Day	497
The Unbearable Lightness of Being	507
Paris, Texas	513
The Birds	521
Cat People	534
Breaking the Waves	543
The Portrait of a Lady	549
Batman Forever	560
The Peacemaker	571
Gattaca	611
One Night Stand	641
Sliding Doors	669
Sense and Sensibility	678
Great Expectations	687
Hush	702
The Man in the Iron Mask	708
A Perfect Murder	750
Take the Money and Run	755
The Exorcist	763
Dangerous Liaisons	772
The Avengers	777
Rosemary's Baby	786
Topaz	798
Marnie	807
I Confess	815
Jamaica Inn	826
Sabotage	836
Rich and Strange	845
Practical Magic	852
Shakespeare in Love	861
Eyes Wide Shut	875
Radio Days	890
Angela's Ashes	895
Jennifer 8	907
Four Weddings and a Funeral	914
Small Time Crooks	919
To Die For	933
Widow's Peak	943
Seven	947
Malice	961
Manhattan Murder Mystery	972
Remains of the Day	976
Mighty Aphrodite	983
Terminal Velocity	992
Germinal	998
Fargo	1010
Alphaville	1021
The Horseman on the Roof	1028
Multiplicity	1035
Emma	1043
Vertigo	1064
Rear Window	1077
Notorious	1086
The 39 Steps	1095
A Few Good Men	1105
My Cousin Vinny	1116
Damien: Omen II	1123
Dead Alive	1134
The Godfather	1141
Alien	1168
Batman Returns	1174
Bad Boys	1181
Spawn	1190
Judge Dredd	1205
Blade	1214
X-Men	1227
The Phantom	1242
Dirty Dancing	1249
Coyote Ugly	1262
Basic Instinct	1278
The Fifth Element	1285
Mouse Hunt	1392
King of New York	1406
Four Rooms	1417
The Prophecy	1433
Armageddon	1438
Disclosure	1461
Jack Frost	1466
Blast From the Past	1475
Pulp Fiction	1482
Sleepy Hollow	1494
Fatal Attraction	1506
Death Becomes Her	1512
Sleepaway Camp	1522
Color of Night	1531
Striking Distance	1539
Braveheart	1544
Top Gun	1553
The Saint	1567
Austin Powers: International Man of Mystery	1616
Dumb and Dumber	1663
Pleasantville	1672
Fletch	1685
National Lampoon's Christmas Vacation	1702
Message in a Bottle	1710
Lost & Found	1722
Austin Powers: The Spy Who Shagged Me	1733
Mystery Men	1742
Dudley Do-Right	1761
The Shawshank Redemption	1771
Tommy Boy	1779
Speed	1788
What About Bob?	1793
Best in Show	1801
Meet the Parents	1816
Airheads	1826
So I Married An Axe Murderer	1844
Tombstone	1851
Mr. Holland's Opus	1872
Kingpin	1877
Black Sheep	1881
Monty Python and the Holy Grail	1889
M.A.S.H.	1899
Sinbad: Legend of the Seven Seas	1905
Leaving Las Vegas	1913
Office Space	1917
High Fidelity	1928
Scary Movie	1938
Clueless	1951
Toy Story	1966
The Sound of Music	1970
Raiders of the Lost Ark	1982
Indiana Jones and the Last Crusade	1990
Grease	1996
Liar Liar	2023
Apollo 13	2035
Air Force One	2042
There's Something About Mary	2075
Rain Man	2085
Indiana Jones and the Temple of Doom	2095
The Waterboy	2101
A Bug's Life	2112
Crocodile Dundee	2127
Tarzan	2137
Big Daddy	2145
The Color Purple	2153
Home Alone 2: Lost in New York	2160
Mission: Impossible 2	2163
The Perfect Storm	2174
The Firm	2186
The Fugitive	2193
Mrs. Doubtfire	2202
Ghost	2206
Aladdin	2209
Dances With Wolves	2213
Snow White and the Seven Dwarfs	2218
Pretty Woman	2225
Mission: Impossible	2287
Twister	2294
Gone With the Wind	2300
The Blair Witch Project	2334
The Terminator	2342
Wild Wild West	2348
Total Recall	2358
Last Action Hero	2367
Eraser	2375
The Devil's Advocate	2388
American Pie	2405
Deuce Bigalow: Male Gigolo	2425
Bring It On	2435
Die Hard	2460
Die Hard 2: Die Harder	2469
Die Hard With a Vengeance	2475
Six Days, Seven Nights	2480
French Kiss	2489
Notting Hill	2494
What Lies Beneath	2503
Henry V	2510
Circle of Friends	2515
My Life So Far	2519
Dead Again	2527
Peter's Friends	2530
Dogma	2535
Howard's End	2549
Carrington	2554
Restoration	2558
Much Ado About Nothing	2564
Sirens	2569
Fallen Angels	2576
A Little Princess	2584
Microcosmos	2585
The Princess Bride	2589
Aliens	2598
A Clockwork Orange	2605
BASEketball	2614
Orgazmo	2623
Clue	2630
The Rocky Horror Picture Show	2634
Little Shop of Horrors	2643
Band of the Hand	2652
Near Dark	2659
Clerks	2663
A Perfect World	2664
The Mummy	2668
Airplane!	2674
Schindler's List	2682
Casablanca	2691
2001: A Space Odyssey	2721
The Devil's Own	2730
The Mask of Zorro	2734
Enemy of the State	2741
Lock, Stock & Two Smoking Barrels	2749
Fight Club	2759
The Story of Us	2768
Gone in 60 Seconds	2772
The Shadow	2790
Silence of the Lambs	2796
Scrooged	2805
Shallow Grave	2819
Benny & Joon	2824
Shall We Dance?	2829
Edward Scissorhands	2844
Awakenings	2852
The Green Mile	2854
Solaris	2867
Taxi Driver	2877
Glory	2886
Unforgiven	2895
Patton	2899
When Harry Met Sally...	2908
Sling Blade	2911
My Best Friend's Wedding	2916
Contact	2932
G.I. Jane	2951
Jackie Brown	2983
As Good As It Gets	3002
Smoke Signals	3007
Pi	3015
Ever After	3029
Hurlyburly	3035
Cruel Intentions	3042
South Park: Bigger, Longer & Uncut	3052
Heaven Can Wait	3054
Big	3070
American Beauty	3080
Boys Don't Cry	3091
Risky Business	3105
Robocop	3110
Anywhere But Here	3115
The Cider House Rules	3127
The War Zone	3140
Girl, Interrupted	3147
Erin Brockovich	3154
Where the Heart Is	3166
Almost Famous	3175
Requiem for a Dream	3193
Ruby in Paradise	3200
Courage Under Fire	3205
Beautiful Girls	3209
Bottle Rocket	3216
Reservoir Dogs	3224
Akira	3230
Field of Dreams	3232
Citizen Ruth	3237
